Product ID,Level,Name,Status,URL,First Available Month,Latest Available Month,Science Team,Description,Keywords
DP1.20092.001,1,Chemical properties of groundwater,Available,https://data.neonscience.org/data-products/DP1.20092.001,2014-08,2024-09,Aquatic Observation System (AOS),"Grab samples of groundwater chemistry including general chemistry, anions, cations, and nutrients.",
DP1.20093.001,1,Chemical properties of surface water,Available,https://data.neonscience.org/data-products/DP1.20093.001,2012-01,2024-09,Aquatic Observation System (AOS),"Grab samples of surface water chemistry including general chemistry, anions, cations, and nutrients.",
DP1.00099.001,1,CO2 concentration - storage,Available,https://data.neonscience.org/data-products/DP1.00099.001,2016-12,2024-08,Terrestrial Instrument System (TIS),Concentration of CO2 in profile of tower; used in calculation of storage terms in eddy covariance calculations of carbon exchange.,
DP1.00034.001,1,CO2 concentration - turbulent,Available,https://data.neonscience.org/data-products/DP1.00034.001,2016-12,2024-08,Terrestrial Instrument System (TIS),Concentration of CO2 at the top of the tower; used in calculation of turbulent terms in eddy covariance calculations of carbon exchange.,
DP2.00008.001,2,CO2 concentration rate of change,Available,https://data.neonscience.org/data-products/DP2.00008.001,2016-12,2024-08,Terrestrial Instrument System (TIS),Time rate of change of CO2 concentration (storage component only) over 30 minutes at each measurement level along the vertical tower profile. Gap-filling is not applicable.,
DP3.00009.001,3,CO2 concentration rate of change profile,Available,https://data.neonscience.org/data-products/DP3.00009.001,2016-12,2024-08,Terrestrial Instrument System (TIS),"Time rate of change of CO2 concentration (storage component only) over 30 min, spatially interpolated along the vertical tower profile.",
DP1.10014.001,1,Coarse downed wood bulk density sampling,Available,https://data.neonscience.org/data-products/DP1.10014.001,2016-02,2024-05,Terrestrial Observation System (TOS),Raw bulk density measurements of coarse downed wood >= 2 cm diameter,
DP1.10010.001,1,Coarse downed wood log survey,Available,https://data.neonscience.org/data-products/DP1.10010.001,2015-05,2024-08,Terrestrial Observation System (TOS),Tally and raw measurement of coarse downed wood >= 2 cm diameter,
DP4.00130.001,4,Continuous discharge,Available,https://data.neonscience.org/data-products/DP4.00130.001,2016-07,2024-08,Aquatic Instrument System (AIS),Continuous measurements of stream discharge calculated from a stage-discharge rating curve and sensor-based measurements of water surface elevation.,
DP1.20254.001,1,Depth profile at specific depths,Available,https://data.neonscience.org/data-products/DP1.20254.001,2014-01,2024-09,Aquatic Observation System (AOS),Measurements of water column temperature and depth profile in non-wadeable streams and lakes,
DP1.10017.001,1,Digital hemispheric photos of plot vegetation,Available,https://data.neonscience.org/data-products/DP1.10017.001,2016-02,2024-08,Terrestrial Observation System (TOS),Upward and/or downward facing digital 180-degree images of vegetation in plots used to calculate leaf area index,
DP1.20048.001,1,Discharge field collection,Available,https://data.neonscience.org/data-products/DP1.20048.001,2014-07,2024-08,Aquatic Observation System (AOS),Discharge measurements from field-based surveys,
DP1.30003.001,1,Discrete return LiDAR point cloud,Available,https://data.neonscience.org/data-products/DP1.30003.001,2013-06,2023-08,Airborne Observation Platform (AOP),"Unclassified three-dimensional point cloud by flightline and classified point cloud by 1 km tile, provided in LAZ format. Classifications follow standard ASPRS definitions. All point coordinates are provided in meters. Horizontal coordinates are referenced in the appropriate UTM zone and the ITRF00 datum. Elevations are referenced to Geoid12A.",
DP1.20097.001,1,Dissolved gases in surface water,Available,https://data.neonscience.org/data-products/DP1.20097.001,2014-10,2024-09,Aquatic Observation System (AOS),"Grab samples of surface water dissolved gases including carbon dioxide, methane, and nitrous oxide",
DP1.00017.001,1,Dust and particulate size distribution,Available,https://data.neonscience.org/data-products/DP1.00017.001,2016-08,2024-08,Terrestrial Instrument System (TIS),"Near real-time measurements of PM1.0, PM2.5, PM4, PM10, PM15 and TSP in the atmosphere using a optical sensor.",
DP3.30015.001,3,Ecosystem structure,Available,https://data.neonscience.org/data-products/DP3.30015.001,2013-06,2023-08,Airborne Observation Platform (AOP),Height of the top of canopy above bare earth (Canopy Height Model (CHM));  data are mosaicked over AOP footprint; mosaicked onto a spatially uniform grid at 1 m spatial resolution in 1 km by 1 km tiles. Data are provided in geotiff format.,
DP3.30024.001,3,Elevation - LiDAR,Available,https://data.neonscience.org/data-products/DP3.30024.001,2013-06,2023-08,Airborne Observation Platform (AOP),Bare earth elevation surface (DTM) and actual surface (DSM) given in meters in the NAVD88 (Geoid12A realization) vertical reference frame. Horizontal coordinates referenced to appropriate UTM zone. Bare earth is created by classifying and removing vegetation and man-made structures from lidar point cloud prior to surface generation. Both the DSM and DTM are mosaicked onto a spatially uniform grid at 1 m spatial resolution in 1 km by 1 km tiles provided in a geotiff format.,
DP1.20100.001,1,Elevation of groundwater,Available,https://data.neonscience.org/data-products/DP1.20100.001,2016-03,2024-08,Aquatic Instrument System (AIS),Sensor based measurement of groundwater elevation calculated from pressure transducer readings in each well,
DP1.20016.001,1,Elevation of surface water,Available,https://data.neonscience.org/data-products/DP1.20016.001,2016-06,2024-08,Aquatic Instrument System (AIS),"In situ sensor-based measurements of surface water elevation, available as 1-minute instantaneous data, and five- and thirty-minute  averages in lakes, rivers, and wadeable streams. Based on sensor measurements of water pressure.",
DP1.30012.001,1,Field spectral data,Available,https://data.neonscience.org/data-products/DP1.30012.001,2014-05,2023-07,Airborne Observation Platform (AOP),"Reflectance of collected sample(s) using leaf clip and hand-held field Spectrometer; opportunistic product, provided when collected.",
DP1.20107.001,1,"Fish electrofishing, gill netting, and fyke netting counts",Available,https://data.neonscience.org/data-products/DP1.20107.001,2016-03,2024-08,Aquatic Observation System (AOS),"Counts of fish from electrofishing surveys in wadeable streams, or electrofishing, gill netting, and/or fyke netting surveys in lakes. Includes fish standard length and individual mass",
DP1.20105.001,1,Fish sequences DNA barcode,Available,https://data.neonscience.org/data-products/DP1.20105.001,2017-10,2023-12,Aquatic Observation System (AOS),COI DNA sequences from select fish in lakes and wadeable streams,
DP4.00201.001,4,Flux footprint characteristics,Available,https://data.neonscience.org/data-products/DP4.00201.001,2016-12,2024-08,Terrestrial Instrument System (TIS),"The eddy-covariance flux measurement sources its information from an upstream surface, the footprint. Footprint characteristics provide the biophysical surface information of this time-varying area, necessary to distinguish temporal effects (e.g., biological activity) from spatial effects (e.g., changing wind direction).",
DP2.30014.002,2,fPAR - spectrometer - bidirectional flightline,Available,https://data.neonscience.org/data-products/DP2.30014.002,2022-05,2022-10,Airborne Observation Platform (AOP),"The fraction of incident photosynthetically active radiation (400-700 nm) absorbed by the green elements of a vegetation canopy; calculated by an industry standard (ATCOR) algorithm based on Soil Adjusted Vegetation Index (SAVI) as input. fPAR data are derived from the topographic and BRDF corrected reflectance data product, ""Spectrometer orthorectified surface bidirectional reflectance - flight line"" (DP1.30006.002). For data derived from the ""Spectrometer orthorectified surface directional reflectance - flight line"", see ""fPAR - spectrometer - directional flightline"" (DP2.30014.001).",
DP3.30014.002,3,fPAR - spectrometer - bidirectional mosaic,Available,https://data.neonscience.org/data-products/DP3.30014.002,2022-05,2022-10,Airborne Observation Platform (AOP),"The fraction of incident photosynthetically active radiation (400-700 nm) absorbed by the green elements of a vegetation canopy; mosaicked from the fPAR Level 2 product onto a spatially uniform grid at 1 m spatial resolution and provided as 1 km by 1 km tiles. Data are derived from the ""Spectrometer orthorectified surface bidirectional reflectance - flightline"" data product (DP1.30006.002).",
DP2.30014.001,2,fPAR - spectrometer - flightline,Available,https://data.neonscience.org/data-products/DP2.30014.001,2013-06,2021-09,Airborne Observation Platform (AOP),"The fraction of incident photosynthetically active radiation (400-700 nm) absorbed by the green elements of a vegetation canopy; calculated by an industry standard (ATCOR) algorithm based on Soil Adjusted Vegetation Index (SAVI) as input. Data are provided by flight line at equivalent resolution to spectrometer orthorectified surface directional reflectance, carbon and nutrient cycling due to its relationship with vegetative productivity. Data are derived from the ""Spectrometer orthorectified surface directional reflectance - flight line"" (DP1.30006.001). For data derived from the topographic and BRDF corrected reflectance data product, ""Spectrometer orthorectified surface bidirectional reflectance - flight line"", see ""fPAR - spectrometer - bidirectional flightline"" (DP2.30014.002).",
DP3.30014.001,3,fPAR - spectrometer - mosaic,Available,https://data.neonscience.org/data-products/DP3.30014.001,2013-06,2021-09,Airborne Observation Platform (AOP),"The fraction of incident photosynthetically active radiation (400-700 nm) absorbed by the green elements of a vegetation canopy; mosaicked from the fPAR Level 2 product onto a spatially uniform grid at 1 m spatial resolution and provided as 1 km by 1 km tiles. Data are derived from the ""Spectrometer orthorectified surface directional reflectance - flightline"" data product (DP1.30006.001).",
DP1.20267.001,1,Gauge height,Available,https://data.neonscience.org/data-products/DP1.20267.001,2014-01,2024-09,Aquatic Instrument System (AIS),"Gauge height, in meters, measured at lakes, wadeable streams and non-wadeable streams.",
DP1.10020.001,1,Ground beetle sequences DNA barcode,Available,https://data.neonscience.org/data-products/DP1.10020.001,2013-07,2022-11,Terrestrial Observation System (TOS),COI DNA sequences from select ground beetles,
